Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
3400,212416,110750,31125,167,131208,208,250,2814500,417,125,292,875
3500,257125,154667,2792,167,140875,292,542,2981375,917,167,708,2083
3600,219958,106708,3166,291,119041,250,3833,2941833,750,125,542,1375
3700,157583,101125,2041,84,48292,208,291,3216458,584,84,292,1125
3800,169750,104459,1958,83,43041,125,167,3271417,500,83,250,1042
3900,159542,100958,1958,83,44875,125,167,3521917,416,125,333,833
4000,182250,103792,2042,125,67958,167,209,3705917,625,83,375,1125
4100,157417,104416,2125,125,48500,167,167,3800167,458,83,208,750
4200,157917,104334,2000,83,48708,125,166,4000875,416,83,375,750
4300,199375,109625,2250,166,58417,250,584,4188167,1792,459,542,1541
4400,190375,106334,2042,125,52458,125,167,4408958,500,125,416,917
4500,213500,117875,2083,83,63166,167,292,4989375,584,84,250,958
4600,210250,118542,2167,83,59541,167,209,5024334,459,84,334,917
4700,232625,115958,2167,84,87250,208,250,5459667,667,84,417,958
4800,122708,113791,2125,83,65167,167,208,5488375,500,84,250,834
4900,109416,103750,1958,83,27041,125,208,5379792,459,84,333,833
5000,108792,106583,1875,84,28334,166,208,5584875,500,83,375,791
5100,123792,111916,1959,125,28459,125,208,5834667,1708,167,750,2000
5200,115250,116125,2291,250,28584,167,542,6084958,667,84,375,958
5300,132125,111375,1958,84,30709,125,250,6284708,458,83,375,792
5400,116375,115875,1959,84,32042,125,167,6510625,458,83,250,750
5500,115459,115083,2000,125,32500,125,208,7071625,500,125,500,750
5600,117709,116958,1875,42,33500,166,208,7237000,417,84,375,792
5700,147666,136500,1958,83,33416,125,167,7640416,1542,125,708,1708
5800,116583,120875,2042,167,35459,167,375,7871875,1166,83,541,1333
5900,128750,117916,2042,83,39500,125,291,8063375,1000,125,625,1416
6000,140250,138375,2083,125,36666,125,250,8421333,584,84,458,1125
6100,130042,141666,2083,84,45875,167,250,8642000,2000,166,833,2250
6200,266292,209625,3917,167,26333,208,459,8784750,750,83,500,1417
6300,302500,271959,4459,250,29917,208,541,9168583,1542,250,667,3209
6400,238500,213625,3750,84,27709,167,292,9709042,2208,125,1042,2042
6500,233000,200541,3958,83,28583,166,375,9795292,583,83,375,1041
